Nose,Neck,Right_Shoulder,Right_Elbow,Right_Wrist,Left_Shoulder,Left_Elbow,Left_Wrist,Right_Hip,Right_Knee,Right_Ankle,Left_Hip,Left_Knee,Left_Ankle,Right_Eye,Left_Eye,Right_Ear,Left_Ear
"Coordinate(x=385.4066162109375, y=295.3125)","Coordinate(x=385.4066162109375, y=329.0625)","Coordinate(x=357.27471923828125, y=323.4375)","Coordinate(x=340.3955993652344, y=368.4375)","Coordinate(x=340.3955993652344, y=402.1875)","Coordinate(x=413.5384826660156, y=329.0625)","Coordinate(x=424.7912292480469, y=368.4375)","Coordinate(x=424.7912292480469, y=407.8125)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=368.5274963378906, y=458.4375)","Coordinate(x=362.901123046875, y=520.3125)","Coordinate(x=396.65936279296875, y=402.1875)","Coordinate(x=396.65936279296875, y=464.0625)","Coordinate(x=391.0329895019531, y=525.9375)","Coordinate(x=379.7802429199219, y=289.6875)","Coordinate(x=391.0329895019531, y=289.6875)","Coordinate(x=368.5274963378906, y=295.3125)","Coordinate(x=402.2857360839844, y=295.3125)"
"Coordinate(x=385.4066162109375, y=295.3125)","Coordinate(x=385.4066162109375, y=329.0625)","Coordinate(x=357.27471923828125, y=329.0625)","Coordinate(x=340.3955993652344, y=368.4375)","Coordinate(x=340.3955993652344, y=402.1875)","Coordinate(x=413.5384826660156, y=329.0625)","Coordinate(x=419.16485595703125, y=362.8125)","Coordinate(x=424.7912292480469, y=407.8125)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=368.5274963378906, y=458.4375)","Coordinate(x=362.901123046875, y=520.3125)","Coordinate(x=396.65936279296875, y=407.8125)","Coordinate(x=396.65936279296875, y=464.0625)","Coordinate(x=391.0329895019531, y=520.3125)","Coordinate(x=379.7802429199219, y=289.6875)","Coordinate(x=391.0329895019531, y=289.6875)","Coordinate(x=368.5274963378906, y=295.3125)","Coordinate(x=402.2857360839844, y=295.3125)"
"Coordinate(x=385.4066162109375, y=295.3125)","Coordinate(x=385.4066162109375, y=329.0625)","Coordinate(x=357.27471923828125, y=323.4375)","Coordinate(x=340.3955993652344, y=368.4375)","Coordinate(x=340.3955993652344, y=402.1875)","Coordinate(x=413.5384826660156, y=329.0625)","Coordinate(x=419.16485595703125, y=362.8125)","Coordinate(x=424.7912292480469, y=407.8125)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=368.5274963378906, y=458.4375)","Coordinate(x=362.901123046875, y=520.3125)","Coordinate(x=402.2857360839844, y=407.8125)","Coordinate(x=396.65936279296875, y=464.0625)","Coordinate(x=396.65936279296875, y=525.9375)","Coordinate(x=379.7802429199219, y=289.6875)","Coordinate(x=391.0329895019531, y=289.6875)","Coordinate(x=368.5274963378906, y=295.3125)","Coordinate(x=402.2857360839844, y=295.3125)"
"Coordinate(x=385.4066162109375, y=295.3125)","Coordinate(x=385.4066162109375, y=329.0625)","Coordinate(x=357.27471923828125, y=323.4375)","Coordinate(x=340.3955993652344, y=362.8125)","Coordinate(x=340.3955993652344, y=402.1875)","Coordinate(x=413.5384826660156, y=329.0625)","Coordinate(x=419.16485595703125, y=362.8125)","Coordinate(x=424.7912292480469, y=407.8125)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=368.5274963378906, y=458.4375)","Coordinate(x=362.901123046875, y=520.3125)","Coordinate(x=396.65936279296875, y=402.1875)","Coordinate(x=396.65936279296875, y=464.0625)","Coordinate(x=396.65936279296875, y=525.9375)","Coordinate(x=379.7802429199219, y=289.6875)","Coordinate(x=391.0329895019531, y=289.6875)","Coordinate(x=368.5274963378906, y=295.3125)","Coordinate(x=402.2857360839844, y=295.3125)"
"Coordinate(x=385.4066162109375, y=295.3125)","Coordinate(x=385.4066162109375, y=329.0625)","Coordinate(x=357.27471923828125, y=323.4375)","Coordinate(x=340.3955993652344, y=362.8125)","Coordinate(x=340.3955993652344, y=402.1875)","Coordinate(x=413.5384826660156, y=329.0625)","Coordinate(x=419.16485595703125, y=362.8125)","Coordinate(x=424.7912292480469, y=407.8125)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=368.5274963378906, y=458.4375)","Coordinate(x=362.901123046875, y=520.3125)","Coordinate(x=402.2857360839844, y=407.8125)","Coordinate(x=396.65936279296875, y=464.0625)","Coordinate(x=391.0329895019531, y=525.9375)","Coordinate(x=379.7802429199219, y=289.6875)","Coordinate(x=391.0329895019531, y=289.6875)","Coordinate(x=368.5274963378906, y=295.3125)","Coordinate(x=402.2857360839844, y=295.3125)"
"Coordinate(x=385.4066162109375, y=295.3125)","Coordinate(x=385.4066162109375, y=329.0625)","Coordinate(x=357.27471923828125, y=323.4375)","Coordinate(x=340.3955993652344, y=362.8125)","Coordinate(x=340.3955993652344, y=402.1875)","Coordinate(x=413.5384826660156, y=329.0625)","Coordinate(x=419.16485595703125, y=362.8125)","Coordinate(x=424.7912292480469, y=407.8125)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=368.5274963378906, y=458.4375)","Coordinate(x=362.901123046875, y=520.3125)","Coordinate(x=402.2857360839844, y=407.8125)","Coordinate(x=396.65936279296875, y=464.0625)","Coordinate(x=391.0329895019531, y=520.3125)","Coordinate(x=379.7802429199219, y=289.6875)","Coordinate(x=391.0329895019531, y=289.6875)","Coordinate(x=368.5274963378906, y=295.3125)","Coordinate(x=402.2857360839844, y=295.3125)"
"Coordinate(x=385.4066162109375, y=295.3125)","Coordinate(x=385.4066162109375, y=329.0625)","Coordinate(x=357.27471923828125, y=323.4375)","Coordinate(x=340.3955993652344, y=362.8125)","Coordinate(x=340.3955993652344, y=402.1875)","Coordinate(x=413.5384826660156, y=329.0625)","Coordinate(x=419.16485595703125, y=362.8125)","Coordinate(x=424.7912292480469, y=407.8125)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=368.5274963378906, y=458.4375)","Coordinate(x=362.901123046875, y=520.3125)","Coordinate(x=396.65936279296875, y=402.1875)","Coordinate(x=396.65936279296875, y=464.0625)","Coordinate(x=396.65936279296875, y=520.3125)","Coordinate(x=379.7802429199219, y=289.6875)","Coordinate(x=391.0329895019531, y=289.6875)","Coordinate(x=368.5274963378906, y=295.3125)","Coordinate(x=402.2857360839844, y=295.3125)"
"Coordinate(x=385.4066162109375, y=295.3125)","Coordinate(x=385.4066162109375, y=329.0625)","Coordinate(x=357.27471923828125, y=323.4375)","Coordinate(x=340.3955993652344, y=362.8125)","Coordinate(x=340.3955993652344, y=402.1875)","Coordinate(x=413.5384826660156, y=329.0625)","Coordinate(x=419.16485595703125, y=362.8125)","Coordinate(x=424.7912292480469, y=407.8125)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=368.5274963378906, y=458.4375)","Coordinate(x=362.901123046875, y=520.3125)","Coordinate(x=396.65936279296875, y=402.1875)","Coordinate(x=396.65936279296875, y=464.0625)","Coordinate(x=391.0329895019531, y=520.3125)","Coordinate(x=379.7802429199219, y=289.6875)","Coordinate(x=391.0329895019531, y=289.6875)","Coordinate(x=368.5274963378906, y=295.3125)","Coordinate(x=402.2857360839844, y=295.3125)"
"Coordinate(x=385.4066162109375, y=295.3125)","Coordinate(x=385.4066162109375, y=329.0625)","Coordinate(x=357.27471923828125, y=323.4375)","Coordinate(x=340.3955993652344, y=362.8125)","Coordinate(x=340.3955993652344, y=402.1875)","Coordinate(x=413.5384826660156, y=329.0625)","Coordinate(x=419.16485595703125, y=362.8125)","Coordinate(x=424.7912292480469, y=407.8125)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=368.5274963378906, y=458.4375)","Coordinate(x=362.901123046875, y=520.3125)","Coordinate(x=396.65936279296875, y=402.1875)","Coordinate(x=396.65936279296875, y=464.0625)","Coordinate(x=391.0329895019531, y=520.3125)","Coordinate(x=379.7802429199219, y=289.6875)","Coordinate(x=391.0329895019531, y=289.6875)","Coordinate(x=368.5274963378906, y=295.3125)","Coordinate(x=402.2857360839844, y=295.3125)"
"Coordinate(x=385.4066162109375, y=295.3125)","Coordinate(x=385.4066162109375, y=329.0625)","Coordinate(x=357.27471923828125, y=323.4375)","Coordinate(x=340.3955993652344, y=362.8125)","Coordinate(x=340.3955993652344, y=402.1875)","Coordinate(x=413.5384826660156, y=329.0625)","Coordinate(x=419.16485595703125, y=362.8125)","Coordinate(x=424.7912292480469, y=407.8125)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=368.5274963378906, y=458.4375)","Coordinate(x=362.901123046875, y=520.3125)","Coordinate(x=396.65936279296875, y=402.1875)","Coordinate(x=396.65936279296875, y=464.0625)","Coordinate(x=391.0329895019531, y=520.3125)","Coordinate(x=379.7802429199219, y=289.6875)","Coordinate(x=391.0329895019531, y=289.6875)","Coordinate(x=368.5274963378906, y=295.3125)","Coordinate(x=402.2857360839844, y=295.3125)"
"Coordinate(x=385.4066162109375, y=295.3125)","Coordinate(x=385.4066162109375, y=329.0625)","Coordinate(x=357.27471923828125, y=323.4375)","Coordinate(x=340.3955993652344, y=362.8125)","Coordinate(x=340.3955993652344, y=402.1875)","Coordinate(x=413.5384826660156, y=329.0625)","Coordinate(x=419.16485595703125, y=362.8125)","Coordinate(x=424.7912292480469, y=407.8125)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=368.5274963378906, y=458.4375)","Coordinate(x=362.901123046875, y=520.3125)","Coordinate(x=396.65936279296875, y=402.1875)","Coordinate(x=396.65936279296875, y=464.0625)","Coordinate(x=391.0329895019531, y=520.3125)","Coordinate(x=379.7802429199219, y=289.6875)","Coordinate(x=391.0329895019531, y=289.6875)","Coordinate(x=368.5274963378906, y=295.3125)","Coordinate(x=402.2857360839844, y=295.3125)"
"Coordinate(x=385.4066162109375, y=295.3125)","Coordinate(x=385.4066162109375, y=329.0625)","Coordinate(x=357.27471923828125, y=323.4375)","Coordinate(x=340.3955993652344, y=362.8125)","Coordinate(x=340.3955993652344, y=402.1875)","Coordinate(x=413.5384826660156, y=329.0625)","Coordinate(x=419.16485595703125, y=362.8125)","Coordinate(x=424.7912292480469, y=407.8125)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=368.5274963378906, y=458.4375)","Coordinate(x=362.901123046875, y=520.3125)","Coordinate(x=396.65936279296875, y=402.1875)","Coordinate(x=396.65936279296875, y=464.0625)","Coordinate(x=391.0329895019531, y=520.3125)","Coordinate(x=379.7802429199219, y=289.6875)","Coordinate(x=391.0329895019531, y=289.6875)","Coordinate(x=368.5274963378906, y=295.3125)","Coordinate(x=402.2857360839844, y=295.3125)"
"Coordinate(x=385.4066162109375, y=295.3125)","Coordinate(x=385.4066162109375, y=329.0625)","Coordinate(x=357.27471923828125, y=323.4375)","Coordinate(x=340.3955993652344, y=362.8125)","Coordinate(x=340.3955993652344, y=402.1875)","Coordinate(x=413.5384826660156, y=329.0625)","Coordinate(x=419.16485595703125, y=362.8125)","Coordinate(x=424.7912292480469, y=407.8125)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=368.5274963378906, y=458.4375)","Coordinate(x=362.901123046875, y=520.3125)","Coordinate(x=396.65936279296875, y=402.1875)","Coordinate(x=396.65936279296875, y=464.0625)","Coordinate(x=391.0329895019531, y=520.3125)","Coordinate(x=379.7802429199219, y=289.6875)","Coordinate(x=391.0329895019531, y=289.6875)","Coordinate(x=374.15386962890625, y=295.3125)","Coordinate(x=402.2857360839844, y=295.3125)"
"Coordinate(x=385.4066162109375, y=295.3125)","Coordinate(x=385.4066162109375, y=329.0625)","Coordinate(x=357.27471923828125, y=323.4375)","Coordinate(x=340.3955993652344, y=362.8125)","Coordinate(x=340.3955993652344, y=402.1875)","Coordinate(x=413.5384826660156, y=329.0625)","Coordinate(x=419.16485595703125, y=362.8125)","Coordinate(x=424.7912292480469, y=407.8125)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=368.5274963378906, y=458.4375)","Coordinate(x=362.901123046875, y=520.3125)","Coordinate(x=396.65936279296875, y=402.1875)","Coordinate(x=396.65936279296875, y=464.0625)","Coordinate(x=391.0329895019531, y=520.3125)","Coordinate(x=379.7802429199219, y=289.6875)","Coordinate(x=391.0329895019531, y=289.6875)","Coordinate(x=368.5274963378906, y=295.3125)","Coordinate(x=402.2857360839844, y=295.3125)"
"Coordinate(x=385.4066162109375, y=295.3125)","Coordinate(x=385.4066162109375, y=329.0625)","Coordinate(x=357.27471923828125, y=323.4375)","Coordinate(x=340.3955993652344, y=362.8125)","Coordinate(x=340.3955993652344, y=402.1875)","Coordinate(x=413.5384826660156, y=329.0625)","Coordinate(x=419.16485595703125, y=362.8125)","Coordinate(x=424.7912292480469, y=407.8125)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=368.5274963378906, y=458.4375)","Coordinate(x=362.901123046875, y=520.3125)","Coordinate(x=396.65936279296875, y=402.1875)","Coordinate(x=396.65936279296875, y=464.0625)","Coordinate(x=391.0329895019531, y=520.3125)","Coordinate(x=379.7802429199219, y=289.6875)","Coordinate(x=391.0329895019531, y=289.6875)","Coordinate(x=368.5274963378906, y=295.3125)","Coordinate(x=402.2857360839844, y=295.3125)"
"Coordinate(x=385.4066162109375, y=295.3125)","Coordinate(x=385.4066162109375, y=329.0625)","Coordinate(x=357.27471923828125, y=323.4375)","Coordinate(x=340.3955993652344, y=362.8125)","Coordinate(x=340.3955993652344, y=402.1875)","Coordinate(x=413.5384826660156, y=329.0625)","Coordinate(x=419.16485595703125, y=362.8125)","Coordinate(x=424.7912292480469, y=407.8125)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=368.5274963378906, y=458.4375)","Coordinate(x=362.901123046875, y=520.3125)","Coordinate(x=396.65936279296875, y=402.1875)","Coordinate(x=396.65936279296875, y=464.0625)","Coordinate(x=391.0329895019531, y=520.3125)","Coordinate(x=379.7802429199219, y=289.6875)","Coordinate(x=391.0329895019531, y=289.6875)","Coordinate(x=374.15386962890625, y=295.3125)","Coordinate(x=402.2857360839844, y=295.3125)"
"Coordinate(x=385.4066162109375, y=295.3125)","Coordinate(x=385.4066162109375, y=329.0625)","Coordinate(x=357.27471923828125, y=323.4375)","Coordinate(x=340.3955993652344, y=362.8125)","Coordinate(x=340.3955993652344, y=402.1875)","Coordinate(x=413.5384826660156, y=329.0625)","Coordinate(x=419.16485595703125, y=362.8125)","Coordinate(x=424.7912292480469, y=407.8125)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=368.5274963378906, y=458.4375)","Coordinate(x=362.901123046875, y=520.3125)","Coordinate(x=396.65936279296875, y=402.1875)","Coordinate(x=396.65936279296875, y=464.0625)","Coordinate(x=391.0329895019531, y=520.3125)","Coordinate(x=379.7802429199219, y=289.6875)","Coordinate(x=391.0329895019531, y=289.6875)","Coordinate(x=368.5274963378906, y=295.3125)","Coordinate(x=402.2857360839844, y=300.9375)"
"Coordinate(x=391.0329895019531, y=295.3125)","Coordinate(x=385.4066162109375, y=329.0625)","Coordinate(x=357.27471923828125, y=323.4375)","Coordinate(x=340.3955993652344, y=362.8125)","Coordinate(x=340.3955993652344, y=402.1875)","Coordinate(x=413.5384826660156, y=329.0625)","Coordinate(x=419.16485595703125, y=362.8125)","Coordinate(x=424.7912292480469, y=407.8125)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=368.5274963378906, y=458.4375)","Coordinate(x=362.901123046875, y=520.3125)","Coordinate(x=396.65936279296875, y=402.1875)","Coordinate(x=396.65936279296875, y=464.0625)","Coordinate(x=391.0329895019531, y=525.9375)","Coordinate(x=379.7802429199219, y=289.6875)","Coordinate(x=391.0329895019531, y=289.6875)","Coordinate(x=374.15386962890625, y=295.3125)","Coordinate(x=402.2857360839844, y=295.3125)"
"Coordinate(x=391.0329895019531, y=295.3125)","Coordinate(x=385.4066162109375, y=329.0625)","Coordinate(x=357.27471923828125, y=323.4375)","Coordinate(x=340.3955993652344, y=362.8125)","Coordinate(x=340.3955993652344, y=402.1875)","Coordinate(x=413.5384826660156, y=329.0625)","Coordinate(x=419.16485595703125, y=362.8125)","Coordinate(x=424.7912292480469, y=407.8125)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=368.5274963378906, y=458.4375)","Coordinate(x=362.901123046875, y=520.3125)","Coordinate(x=396.65936279296875, y=402.1875)","Coordinate(x=396.65936279296875, y=464.0625)","Coordinate(x=391.0329895019531, y=525.9375)","Coordinate(x=379.7802429199219, y=289.6875)","Coordinate(x=396.65936279296875, y=289.6875)","Coordinate(x=374.15386962890625, y=295.3125)","Coordinate(x=402.2857360839844, y=295.3125)"
"Coordinate(x=391.0329895019531, y=295.3125)","Coordinate(x=385.4066162109375, y=329.0625)","Coordinate(x=357.27471923828125, y=323.4375)","Coordinate(x=340.3955993652344, y=362.8125)","Coordinate(x=340.3955993652344, y=402.1875)","Coordinate(x=413.5384826660156, y=329.0625)","Coordinate(x=419.16485595703125, y=362.8125)","Coordinate(x=424.7912292480469, y=407.8125)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=368.5274963378906, y=458.4375)","Coordinate(x=362.901123046875, y=520.3125)","Coordinate(x=396.65936279296875, y=402.1875)","Coordinate(x=396.65936279296875, y=464.0625)","Coordinate(x=391.0329895019531, y=525.9375)","Coordinate(x=379.7802429199219, y=289.6875)","Coordinate(x=396.65936279296875, y=289.6875)","Coordinate(x=374.15386962890625, y=295.3125)","Coordinate(x=402.2857360839844, y=295.3125)"
"Coordinate(x=391.0329895019531, y=295.3125)","Coordinate(x=385.4066162109375, y=329.0625)","Coordinate(x=357.27471923828125, y=323.4375)","Coordinate(x=340.3955993652344, y=362.8125)","Coordinate(x=340.3955993652344, y=402.1875)","Coordinate(x=413.5384826660156, y=329.0625)","Coordinate(x=419.16485595703125, y=362.8125)","Coordinate(x=424.7912292480469, y=407.8125)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=368.5274963378906, y=458.4375)","Coordinate(x=362.901123046875, y=520.3125)","Coordinate(x=396.65936279296875, y=402.1875)","Coordinate(x=396.65936279296875, y=464.0625)","Coordinate(x=391.0329895019531, y=520.3125)","Coordinate(x=379.7802429199219, y=289.6875)","Coordinate(x=396.65936279296875, y=289.6875)","Coordinate(x=374.15386962890625, y=295.3125)","Coordinate(x=402.2857360839844, y=295.3125)"
"Coordinate(x=391.0329895019531, y=295.3125)","Coordinate(x=385.4066162109375, y=329.0625)","Coordinate(x=357.27471923828125, y=323.4375)","Coordinate(x=340.3955993652344, y=362.8125)","Coordinate(x=340.3955993652344, y=402.1875)","Coordinate(x=413.5384826660156, y=329.0625)","Coordinate(x=419.16485595703125, y=362.8125)","Coordinate(x=424.7912292480469, y=407.8125)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=368.5274963378906, y=458.4375)","Coordinate(x=362.901123046875, y=520.3125)","Coordinate(x=396.65936279296875, y=402.1875)","Coordinate(x=396.65936279296875, y=464.0625)","Coordinate(x=391.0329895019531, y=525.9375)","Coordinate(x=379.7802429199219, y=289.6875)","Coordinate(x=396.65936279296875, y=289.6875)","Coordinate(x=374.15386962890625, y=295.3125)","Coordinate(x=402.2857360839844, y=295.3125)"
"Coordinate(x=391.0329895019531, y=295.3125)","Coordinate(x=385.4066162109375, y=329.0625)","Coordinate(x=357.27471923828125, y=323.4375)","Coordinate(x=340.3955993652344, y=362.8125)","Coordinate(x=340.3955993652344, y=402.1875)","Coordinate(x=413.5384826660156, y=329.0625)","Coordinate(x=419.16485595703125, y=362.8125)","Coordinate(x=424.7912292480469, y=407.8125)","Coordinate(x=368.5274963378906, y=402.1875)","Coordinate(x=368.5274963378906, y=458.4375)","Coordinate(x=362.901123046875, y=520.3125)","Coordinate(x=396.65936279296875, y=402.1875)","Coordinate(x=396.65936279296875, y=464.0625)","Coordinate(x=391.0329895019531, y=525.9375)","Coordinate(x=379.7802429199219, y=289.6875)","Coordinate(x=396.65936279296875, y=289.6875)","Coordinate(x=374.15386962890625, y=295.3125)","Coordinate(x=402.2857360839844, y=295.3125)"
